term,pos,meaningZh,meaningEn,exampleEn,exampleZh,band
abbreviate,v.,缩写,to shorten,We abbreviate the name to ABB.,我们把这个名字缩写为ABB。,6
abstract,adj.,抽象的,not concrete,This idea is too abstract.,这个想法太抽象了。,6
abundant,adj.,丰富的,plenty of,The garden has abundant flowers.,花园里花朵繁茂。,6
accelerate,v.,加速,to speed up,The car accelerated quickly.,汽车迅速加速。,6
accommodate,v.,容纳；适应,to house or adapt,The hotel can accommodate 200 guests.,这家酒店可容纳200位客人。,6
accurate,adj.,准确的,exact,The data is accurate.,这些数据是准确的。,6
achievement,n.,成就,something achieved,Winning the prize was a great achievement.,获奖是一项了不起的成就。,6
acquisition,n.,获得,act of gaining,The acquisition of skills takes time.,技能的习得需要时间。,6
administrative,adj.,行政的,of management,She works in an administrative role.,她从事行政工作。,6
advocate,v.,提倡,to support,They advocate healthy eating.,他们提倡健康饮食。,6
affordable,adj.,负担得起的,cheap enough,The flat is affordable.,这套公寓负担得起。,6
aggregate,n.,总计,total amount,The aggregate of votes was clear.,选票总数一目了然。,6
algorithm,n.,算法,a calculation method,The app uses a smart algorithm.,这款应用使用智能算法。,6
align,v.,对齐,to line up,Please align the text to the left.,请把文字左对齐。,6
allocate,v.,分配,to assign,We allocate tasks to each member.,我们把任务分配给每位成员。,6
ambiguous,adj.,模糊的,unclear,His answer was ambiguous.,他的回答含糊不清。,6
analogy,n.,类比,a comparison,He explained it by analogy.,他用一个类比来解释。,6
analysis,n.,分析,detailed study,The analysis revealed a trend.,分析揭示了一个趋势。,6
anticipate,v.,预期,to expect,We anticipate a rise in cost.,我们预计成本会上升。,6
appreciate,v.,欣赏,to value,She appreciates good music.,她欣赏好音乐。,6
arbitrary,adj.,任意的,random,The choice seemed arbitrary.,这个选择似乎很随意。,6
assert,v.,断言,to state firmly,He asserted his innocence.,他坚称自己无辜。,6
assessment,n.,评估,evaluation,The risk assessment is done.,风险评估已完成。,6
assumption,n.,假设,something supposed,The plan is based on an assumption.,这个计划基于一个假设。,6
attribute,v.,归因,to credit to,We attribute success to hard work.,我们把成功归功于努力。,6
