term,pos,meaningZh,meaningEn,exampleEn,exampleZh,band
abandon,v.,放弃；抛弃,to leave completely,They abandoned the plan.,他们放弃了那个计划。,8
abate,v.,减轻；减弱,to become less strong,The pain abated slowly.,疼痛慢慢减轻了。,8
aberration,n.,反常；异常,deviation from normal,The error was an aberration.,那个错误属于反常。,8
abhor,v.,憎恶；厌恶,to hate deeply,He abhors violence.,他深恶暴力。,8
abolish,v.,废除；废止,to end officially,They abolished the tax.,他们废除了那项税。,8
abridge,v.,删节；缩短,to shorten a text,The book was abridged.,那本书被删节了。,8
absolve,v.,赦免；免除,to free from blame,The court absolved him.,法庭赦免了他。,8
abstain,v.,节制；弃权,to refrain,He abstained from voting.,他弃了权。,8
accede,v.,同意；就任,to agree or assume office,She acceded to the request.,她同意了那个请求。,8
acclimate,v.,使适应,to adjust to a climate,He acclimated to the heat.,他适应了炎热。,8
accrue,v.,自然增加；累积,to accumulate,Interest accrued monthly.,利息每月累积。,8
adamant,adj.,坚决的；固执的,unyielding,She was adamant about leaving.,她坚决要离开。,8
adept,adj./n.,熟练的；行家,highly skilled,He is adept at coding.,他精通编程。,8
adjourn,v.,休会；延期,to postpone,The meeting adjourned.,会议休会了。,8
adroit,adj.,机敏的；灵巧的,skillful,He gave an adroit reply.,他给了个机敏的回答。,8
affable,adj.,和蔼可亲的,friendly,The affable host smiled.,那位和蔼的主人微笑着。,8
affinity,n.,亲和力；喜爱,a natural liking,She has an affinity for music.,她对音乐有天然的喜爱。,8
aggrandize,v.,扩大；夸大,to increase power,He sought to aggrandize himself.,他试图抬高自己。,8
alacrity,n.,敏捷；乐意,cheerful readiness,She accepted with alacrity.,她欣然接受了。,8
alias,n.,化名；别名,an assumed name,He used an alias.,他用了个化名。,8
allay,v.,减轻；缓和,to calm fears,The news allayed her worry.,那个消息减轻了她的担忧。,8
allude,v.,暗指；提及,to refer indirectly,He alluded to the past.,他暗指了过去。,8
aloof,adj.,冷淡的；远离的,emotionally distant,He remained aloof.,他依然冷淡。,8
amalgamate,v.,合并；混合,to combine,The firms amalgamated.,那些公司合并了。,8
ambiguous,adj.,含糊的；歧义的,open to two meanings,The rule is ambiguous.,那条规则含糊不清。,8
ambivalent,adj.,矛盾的；爱憎交织的,mixed feelings,She felt ambivalent.,她感到矛盾。,8
ameliorate,v.,改善；改良,to make better,The reform ameliorated life.,那项改革改善了生活。,8
amenable,adj.,顺从的；愿接受的,open to suggestions,He was amenable to advice.,他愿意接受建议。,8
amiable,adj.,亲切的；友好的,pleasant,The amiable girl helped.,那个亲切的女孩帮了忙。,8
amiss,adj./adv.,错误的；有毛病的,wrong or out of order,Something seemed amiss.,似乎有什么不对劲。,8
anomalous,adj.,异常的；不规则的,deviating from rule,The result was anomalous.,结果异常。,8
antithesis,n.,对立面；对偶,the direct opposite,His view is the antithesis.,他的观点正好相反。,8
apathy,n.,冷漠；无兴趣,lack of feeling,The apathy worried them.,那种冷漠让他们担忧。,8
apex,n.,顶点；尖端,the highest point,He reached the apex.,他到达了顶点。,8
appall,v.,使惊骇；使厌恶,to horrify,The crime appalled all.,那桩罪行让所有人惊骇。,8
apparition,n.,幽灵；幻影,a ghostly figure,An apparition appeared.,一个幽灵出现了。,8
apropos,adj./prep.,恰当的；关于,relevant,His remark was apropos.,他的话很恰当。,8
arbitrary,adj.,任意的；专横的,based on whim,The rule seemed arbitrary.,那条规则似乎很武断。,8
arbiter,n.,仲裁者；裁决人,a judge,He acted as arbiter.,他充当了仲裁者。,8
arcane,adj.,神秘的；晦涩的,secret and obscure,The ritual was arcane.,那个仪式很神秘。,8
archetype,n.,原型；典型,an original model,He is the archetype.,他是那种典型。,8
articulate,adj./v.,表达清晰的；清楚说出,able to express well,She articulated her view.,她清楚地表达了观点。,8
