term,pos,meaningZh,meaningEn,exampleEn,exampleZh,band
abandon,v.,放弃,to leave behind,He abandoned the old car.,他抛弃了那辆旧车。,5
ability,n.,能力,skill or power,She has great ability.,她能力很强。,5
absence,n.,缺席,being away,His absence was noted.,有人注意到他缺席了。,5
absolute,adj.,绝对的,total,He has absolute trust in her.,他对她绝对信任。,5
academic,adj.,学术的,of study,She has an academic career.,她从事学术工作。,5
accept,v.,接受,to take,We accept your kind offer.,我们接受你的好意。,5
access,n.,接近；使用权,way to reach,The app gives quick access.,这款应用能快速访问。,5
accident,n.,事故,unplanned event,The accident was minor.,事故很轻微。,5
accompany,v.,陪伴,to go with,She accompanied her friend.,她陪伴了朋友。,5
accomplish,v.,完成,to finish,We accomplished the goal.,我们完成了目标。,5
achieve,v.,实现,to reach,He achieved his dream.,他实现了梦想。,5
acquire,v.,获得,to gain,We acquired new skills.,我们获得了新技能。,5
activity,n.,活动,thing done,The activity was fun.,活动很有趣。,5
actual,adj.,实际的,real,The actual cost was low.,实际成本很低。,5
adapt,v.,适应,to adjust,We adapt to change.,我们适应变化。,5
adequate,adj.,充足的,enough,The supply is adequate.,供应是充足的。,5
adjust,v.,调整,to change slightly,We adjust the settings.,我们调整设置。,5
admire,v.,钦佩,to respect,She admires his courage.,她钦佩他的勇气。,5
admit,v.,承认,to accept as true,He admitted his mistake.,他承认了错误。,5
adopt,v.,采纳；收养,to take up or take in,They adopted the plan.,他们采纳了计划。,5
adult,n.,成年人,grown person,He is a responsible adult.,他是个负责任的成年人。,5
advance,v.,推进；进步,to move forward,We advance the project.,我们推进项目。,5
advantage,n.,优势,benefit,This gives us an advantage.,这给了我们优势。,5
adventure,n.,冒险,exciting trip,The adventure was thrilling.,冒险令人激动。,5
advertise,v.,做广告,to promote,They advertise on social media.,他们在社交媒体做广告。,5
advice,n.,建议,guidance,He gave me good advice.,他给了我好建议。,5
affair,n.,事务,matter,This is a private affair.,这是私事。,5
affect,v.,影响,to influence,Weather affects our mood.,天气影响心情。,5
afford,v.,负担得起,to have enough money,We cannot afford it.,我们负担不起。,5
afraid,adj.,害怕的,scared,She is afraid of dogs.,她怕狗。,5
agency,n.,机构,organization,The agency handles tours.,该机构负责旅游。,5
agenda,n.,议程,list of topics,The agenda is full.,议程排满了。,5
agent,n.,代理人,representative,The agent booked the trip.,代理订了行程。,5
agriculture,n.,农业,farming,Agriculture feeds the nation.,农业养活国家。,5
aim,n.,目标,purpose,Our aim is clear.,我们的目标明确。,5
alarm,n.,警报,warning sound,The alarm woke us.,警报叫醒了我们。,5
alike,adj.,相似的,similar,The two are alike.,两者相似。,5
alive,adj.,活着的,living,The fish is still alive.,鱼还活着。,5
allow,v.,允许,to permit,They allow pets here.,这里允许宠物。,5
alone,adj.,单独的,by oneself,He lives alone.,他独自生活。,5
alphabet,n.,字母表,letters,She learned the alphabet.,她学了字母表。,5
alternative,adj.,替代的；选择,other option,We need an alternative plan.,我们需要替代方案。,5
amaze,v.,使惊奇,to surprise,The view amazed us.,景色使我们惊叹。,5
ambition,n.,抱负,strong goal,His ambition is clear.,他的抱负明确。,5
amount,n.,数量,quantity,The amount is small.,数量很小。,5
amuse,v.,逗乐,to entertain,The joke amused us.,笑话逗乐了我们。,5
ancient,adj.,古老的,very old,This is an ancient city.,这是座古城。,5
anger,n.,愤怒,strong displeasure,His anger was clear.,他的愤怒很明显。,5
angle,n.,角度,point of view,Look at it from this angle.,从这个角度看。,5
animal,n.,动物,living creature,The animal is cute.,这只动物很可爱。,5
