aberration,偏差,8
abstruse,深奥的,8
acrimonious,尖酸刻薄的,8
admonish,警告,8
ambivalent,矛盾的,8
anomaly,异常,8
antithesis,对立面,8
apotheosis,顶峰,8
arcane,神秘的,8
arduous,艰巨的,8
ascetic,苦行的,8
aspiration,抱负,8
austere,朴素的,8
avarice,贪婪,8
axiom,公理,8
beguile,欺骗,8
berate,严责,8
bilk,欺骗,8
cabal,密谋集团,8
calumny,诽谤,8
candor,坦率,8
cant,伪善之言,8
capitulate,屈服,8
castigate,严惩,8
caveat,警告,8
chastise,惩罚,8
chauvinism,沙文主义,8
coagulate,凝结,8
codify,编成法典,8
cohere,凝聚,8
collusion,共谋,8
commensurate,相称的,8
compunction,悔恨,8
concomitant,伴随的,8
condescend,屈尊,8
confluence,汇合,8
connote,隐含,8
contumacious,不服从的,8
corporeal,肉体的,8
coterie,小圈子,8
countenance,支持,8
cupidity,贪婪,8
debonair,温文尔雅的,8
decorum,礼仪,8
demur,异议,8
depravity,堕落,8
desiccate,使干燥,8
despot,暴君,8
diatribe,抨击,8
disabuse,纠正错误,8
dissemble,掩饰,8
divisive,分裂的,8
dogmatic,武断的,8
duplicity,口是心非,8
ebullition,沸腾,8
edifying,有启发性的,8
eerie,怪异的,8
effusive,溢于言表的,8
embezzle,挪用,8
encomium,赞颂,8
evanescent,易逝的,8
excoriate,严厉批评,8
feckless,无能的,8
fervid,热烈的,8
flagellate,鞭打,8
flippant,轻率的,8
fortitude,坚韧,8
fulsome,过度的,8
garrulous,喋喋不休的,8
genteel,文雅的,8
grandiloquent,夸夸其谈的,8
harbinger,先驱,8
hedonism,享乐主义,8
heretical,异端的,8
hirsute,多毛的,8
ignominy,耻辱,8
imbroglio,纠纷,8
imprecate,诅咒,8
incandescent,白热的,8
ineffable,难以言喻的,8
iniquity,邪恶,8
insouciant,漫不经心的,8
intemperate,无节制的,8
inveterate,根深蒂固的,8
invidious,惹人反感的,8
jejune,幼稚的,8
kowtow,叩头,8
lacuna,空白,8
limpid,清澈的,8
loquacious,健谈的,8
magnanimous,宽宏大量的,8
mendicant,乞丐,8
meritorious,值得称赞的,8
modish,时髦的,8
moribund,垂死的,8
myriad,无数的,8
obloquy,公开指责,8
offal,内脏,8
panegyric,颂词,8
parlance,说法,8
penumbra,半影,8
perilous,危险的,8
perorate,长篇演说,8
perspicuous,明晰的,8
petrous,岩石的,8
philistine,庸俗的,8
pitched,倾斜的,8
plangent,凄切的,8
prelapsarian,堕落前的,8
prescient,有先见之明的,8
punctilio,礼节细节,8
purblind,愚钝的,8
querulous,抱怨的,8
raconteur,善于讲故事者,8
rapacious,贪婪的,8
rebarbative,令人讨厌的,8
recidivist,惯犯,8
redolent,芬芳的,8
rejoinder,答辩,8
restitution,赔偿,8
sanguine,乐观的,8
sinecure,闲职,8
solipsism,唯我论,8
splenetic,脾气坏的,8
spurious,伪造的,8
stultify,使显得愚蠢的,8
tendentious,有倾向的,8
unassailable,无可辩驳的,8
vacuous,空洞的,8
verisimilitude,逼真,8
vicious,恶性的,8
vituperate,斥责,8
winnow,筛选,8
