term,pos,meaningZh,meaningEn,exampleEn,exampleZh,band
abandon,v.,放弃,to give up,He abandoned the project.,他放弃了那个项目。,7
abbreviate,v.,缩写,to shorten,Please abbreviate your name.,请把你的名字缩写。,7
ability,n.,能力,capacity to do,She has the ability to lead.,她有领导能力。,7
absence,n.,缺席,lack or non-presence,His absence was noted.,他的缺席被注意到了。,7
absolute,adj.,绝对的,complete or total,It is an absolute rule.,这是一条绝对的规则。,7
absorb,v.,吸收,to take in,The sponge absorbed water.,海绵吸收了水分。,7
abstract,adj.,抽象的,not concrete,This idea is abstract.,这个想法很抽象。,7
abundant,adj.,丰富的,plentiful,The region has abundant rain.,这个地区雨水充沛。,7
academic,adj.,学术的,related to study,She has an academic career.,她从事学术工作。,7
accept,v.,接受,to receive willingly,They accepted the offer.,他们接受了提议。,7
access,n.,通道；使用权,means of approach,The library gives access to books.,图书馆提供书籍的使用权。,7
accommodate,v.,容纳；适应,to house or adapt,The hotel can accommodate guests.,这家酒店能容纳客人。,7
accompany,v.,陪伴,to go with,She accompanied her friend.,她陪伴了朋友。,7
accomplish,v.,完成,to achieve,We accomplished the task.,我们完成了任务。,7
account,n.,账户；描述,a record or report,He opened a bank account.,他开了一个银行账户。,7
accurate,adj.,准确的,correct,The data is accurate.,数据是准确的。,7
achieve,v.,达成,to succeed in doing,They achieved their goal.,他们达成了目标。,7
acquire,v.,获得,to gain,He acquired new skills.,他获得了新技能。,7
adapt,v.,适应,to adjust,Plants adapt to climate.,植物会适应环境。,7
adequate,adj.,足够的,sufficient,We have adequate food.,我们有足够的食物。,7
adjacent,adj.,相邻的,next to,The park is adjacent to school.,公园与学校相邻。,7
adjust,v.,调整,to change slightly,He adjusted the seat.,他调整了座位。,7
administrate,v.,管理,to manage,She administrates the office.,她管理办公室。,7
admire,v.,钦佩,to respect,We admire her courage.,我们钦佩她的勇气。,7
admit,v.,承认；准入,to confess or allow in,He admitted his mistake.,他承认了错误。,7
adopt,v.,采纳；收养,to take up or raise,They adopted a child.,他们收养了一个孩子。,7
advance,v./n.,推进；进步,to move forward,The research advanced quickly.,研究进展迅速。,7
advantage,n.,优势,benefit,This gives us an advantage.,这给了我们一个优势。,7
advocate,v./n.,提倡；倡导者,to support,He advocates clean energy.,他提倡清洁能源。,7
aesthetic,adj.,审美的,related to beauty,The design has aesthetic value.,这个设计有审美价值。,7
affect,v.,影响,to influence,Weather affects mood.,天气影响情绪。,7
afford,v.,负担得起,to have enough money,They can afford a house.,他们买得起房子。,7
aggregate,adj./n.,总计的,total,The aggregate score is high.,总分很高。,7
aggressive,adj.,好斗的,forceful,He has an aggressive style.,他风格强势。,7
allocate,v.,分配,to assign,We allocated the budget.,我们分配了预算。,7
alternative,n./adj.,替代（的）,another option,We need an alternative plan.,我们需要替代方案。,7
ambiguous,adj.,模糊的,unclear,The message is ambiguous.,这条信息含糊不清。,7
amend,v.,修正,to correct,They amended the law.,他们修订了法律。,7
analogy,n.,类比,comparison,He used an analogy.,他用了类比。,7
analyze,v.,分析,to examine,We analyzed the data.,我们分析了数据。,7
ancient,adj.,古老的,very old,This is an ancient book.,这是一本古书。,7
annual,adj.,每年的,yearly,They hold an annual meeting.,他们举行年度会议。,7
anticipate,v.,预期,to expect,We anticipate growth.,我们预期增长。,7
apparent,adj.,明显的,seeming or clear,The problem is apparent.,问题很明显。,7
appreciate,v.,欣赏；感激,to value,He appreciates art.,他欣赏艺术。,7
appropriate,adj.,适当的,suitable,This is appropriate dress.,这身打扮很得体。,7
approximate,adj.,近似的,near,The cost is approximate.,成本是个近似值。,7
arbitrary,adj.,任意的,random,The choice was arbitrary.,这个选择很随意。,7
argue,v.,争论,to debate,They argued the case.,他们为这个案子辩论。,7
arise,v.,出现,to come up,Problems may arise.,问题可能会出现。,7
array,n.,阵列；一系列,a range,There is an array of options.,有一系列的选择。,7
aspect,n.,方面,a part,We studied every aspect.,我们研究了每个方面。,7
assemble,v.,组装,to put together,We assembled the model.,我们组装了模型。,7
assess,v.,评估,to evaluate,They assessed the risk.,他们评估了风险。,7
assign,v.,分配,to give out,He assigned the task.,他分配了任务。,7
assist,v.,协助,to help,She assisted the teacher.,她协助了老师。,7
assume,v.,假设,to suppose,We assume he is right.,我们假定他是对的。,7
assure,v.,确保,to make certain,He assured our safety.,他确保了我们的安全。,7
attach,v.,附加,to fasten,Please attach the file.,请附上文件。,7
attain,v.,达到,to achieve,She attained her dream.,她实现了梦想。,7
attribute,v./n.,归因于；属性,to credit,We attribute success to work.,我们把成功归功于努力。,7
authority,n.,权威,power,The police have authority.,警方有权威。,7
automatic,adj.,自动的,self-acting,The door is automatic.,这扇门是自动的。,7
available,adj.,可用的,ready to use,Seats are available.,还有空座。,7
aware,adj.,意识到的,knowing,He is aware of risk.,他意识到了风险。,7
