abandon,放弃,7
abate,减轻,7
abbreviate,缩写,7
abhor,憎恶,7
accede,同意,7
accommodate,容纳,7
accord,一致,7
accost,搭讪,7
acquaint,使熟悉,7
acquiesce,默许,7
acquit,宣告无罪,7
adhere,坚持,7
adjacent,邻近的,7
adjoin,毗连,7
adjourn,休会,7
adverse,不利的,7
advocate,提倡,7
aesthetic,美学的,7
affluent,富裕的,7
agenda,议程,7
aggregate,合计,7
alleviate,缓解,7
allocate,分配,7
ambiguous,模糊的,7
amend,修正,7
analogy,类比,7
annex,附加,7
anticipate,预期,7
apathy,冷漠,7
apparatus,装置,7
apprehensive,忧虑的,7
arbitrary,武断的,7
arid,干旱的,7
ascertain,查明,7
ascribe,归因于,7
assault,攻击,7
assert,断言,7
assessment,评估,7
assimilate,同化,7
attorney,律师,7
attribute,属性,7
auditory,听觉的,7
augment,增加,7
authentic,真实的,7
authorize,授权,7
autonomous,自治的,7
avail,有用,7
averse,反对的,7
avert,避免,7
awry,歪曲的,7
baffle,困惑,7
balmy,温和的,7
barren,贫瘠的,7
belligerent,好战的,7
benevolent,仁慈的,7
bereave,丧失,7
besiege,围困,7
bias,偏见,7
bilateral,双边的,7
blatant,公然的,7
blithe,无忧无虑的,7
boost,促进,7
breach,违反,7
brittle,易碎的,7
brunt,冲击,7
burgeon,迅速发展,7
buttress,支持,7
bypass,绕过,7
cajole,哄骗,7
calamity,灾难,7
candid,坦率的,7
capricious,反复无常的,7
captivate,迷住,7
cardinal,主要的,7
categorical,绝对的,7
caustic,尖刻的,7
cavalier,漫不经心的,7
censure,指责,7
centralize,集中,7
chaotic,混乱的,7
chronicle,编年史,7
circulate,循环,7
clarify,澄清,7
coalesce,合并,7
coerce,强迫,7
cohesive,有凝聚力的,7
colossal,巨大的,7
commence,开始,7
commend,称赞,7
commodious,宽敞的,7
compelling,引人注目的,7
compensate,补偿,7
competent,胜任的,7
compile,编制,7
complement,补充,7
comprehensive,全面的,7
compromise,妥协,7
concede,承认,7
conceive,构想,7
concur,同意,7
condemn,谴责,7
condone,宽恕,7
confide,吐露,7
confine,限制,7
conform,遵守,7
confound,使困惑,7
conspicuous,显眼的,7
constraint,约束,7
consummate,完美的,7
contemplate,沉思,7
contend,主张,7
contrive,谋划,7
controversial,有争议的,7
convene,召集,7
converge,汇聚,7
conviction,信念,7
cordial,热诚的,7
corroborate,证实,7
cosmopolitan,世界性的,7
counteract,抵消,7
counterpart,对应物,7
covert,隐蔽的,7
covet,垂涎,7
cower,畏缩,7
crass,粗俗的,7
credible,可信的,7
criterion,标准,7
crucial,关键的,7
cryptic,神秘的,7
culminate,达到顶点,7
cumulative,累积的,7
curb,控制,7
cursory,粗略的,7
curtail,削减,7
cynical,愤世嫉俗的,7
